Title,Genre,Studio,Total Gross,Theaters,Opening Gross,Open Date
Rogue One: A Star Wars Story,Sci-Fi Adventure,BV,"$532,177,324.00 ",4157,"$155,081,681.00 ",12/16/16
Finding Dory,Animation,BV,"$486,295,561.00 ",4305,"$135,060,273.00 ",6/17/16
Captain America: Civil War,Action / Adventure,BV,"$408,084,349.00 ",4226,"$179,139,142.00 ",5/6/16
The Secret Life of Pets,Animation,Uni.,"$368,384,330.00 ",4381,"$104,352,905.00 ",7/8/16
The Jungle Book (2016),Adventure,BV,"$364,001,123.00 ",4144,"$103,261,464.00 ",4/15/16
Deadpool,Action,Fox,"$363,070,709.00 ",3856,"$132,434,639.00 ",2/12/16
Zootopia,Animation,BV,"$341,268,248.00 ",3959,"$75,063,401.00 ",3/4/16
Batman v Superman: Dawn of Justice,Action / Adventure,WB,"$330,360,194.00 ",4256,"$166,007,347.00 ",3/25/16
Suicide Squad,Action / Adventure,WB,"$325,100,054.00 ",4255,"$133,682,248.00 ",8/5/16
Sing,Animation,Uni.,"$270,329,045.00 ",4029,"$35,258,145.00 ",12/21/16
Moana,Animation,BV,"$248,757,044.00 ",3875,"$56,631,401.00 ",11/23/16
Fantastic Beasts and Where To Find Them,Fantasy,WB,"$234,037,575.00 ",4144,"$74,403,387.00 ",11/18/16
Doctor Strange,Action / Adventure,BV,"$232,641,920.00 ",3882,"$85,058,311.00 ",11/4/16
Hidden Figures,Drama,Fox,"$169,380,811.00 ",3416,"$515,499.00 ",12/25/16
Jason Bourne,Action,Uni.,"$162,434,410.00 ",4039,"$59,215,365.00 ",7/29/16
Star Trek Beyond,Sci-Fi Adventure,Par.,"$158,848,340.00 ",3928,"$59,253,211.00 ",7/22/16
X-Men: Apocalypse,Action / Adventure,Fox,"$155,442,489.00 ",4153,"$65,769,562.00 ",5/27/16
Trolls,Animation,Fox,"$153,707,064.00 ",4066,"$46,581,142.00 ",11/4/16
La La Land,Musical,LG/S,"$151,101,803.00 ",3236,"$881,104.00 ",12/9/16
Kung Fu Panda 3,Animation,Fox,"$143,528,619.00 ",3987,"$41,282,042.00 ",1/29/16
Ghostbusters (2016),Horror Comedy,Sony,"$128,350,574.00 ",3963,"$46,018,755.00 ",7/15/16
Central Intelligence,Comedy,WB (NL),"$127,440,871.00 ",3508,"$35,535,250.00 ",6/17/16
The Legend of Tarzan,Action / Adventure,WB,"$126,643,061.00 ",3591,"$38,527,856.00 ",7/1/16
Sully,Drama,WB,"$125,070,033.00 ",3955,"$35,028,301.00 ",9/9/16
Bad Moms,Comedy,STX,"$113,257,297.00 ",3215,"$23,817,340.00 ",7/29/16
The Angry Birds Movie,Animation,Sony,"$107,509,366.00 ",3932,"$38,155,177.00 ",5/20/16
Independence Day: Resurgence,Sci-Fi Adventure,Fox,"$103,144,286.00 ",4130,"$41,039,944.00 ",6/24/16
The Conjuring 2,Horror,WB (NL),"$102,470,008.00 ",3356,"$40,406,314.00 ",6/10/16
Arrival,Sci-Fi,Par.,"$100,546,139.00 ",3115,"$24,074,047.00 ",11/11/16
Passengers (2016),Sci-Fi,Sony,"$100,014,699.00 ",3478,"$14,869,736.00 ",12/21/16
Sausage Party,Animation,Sony,"$97,685,686.00 ",3135,"$34,263,534.00 ",8/12/16
The Magnificent Seven (2016),Western,Sony,"$93,432,655.00 ",3696,"$34,703,397.00 ",9/23/16
Ride Along 2,Action Comedy,Uni.,"$91,221,830.00 ",3192,"$35,243,095.00 ",1/15/16
Don't Breathe,Horror Thriller,SGem,"$89,217,875.00 ",3384,"$26,411,706.00 ",8/26/16
Miss Peregrine's Home for Peculiar Children,Fantasy,Fox,"$87,242,834.00 ",3835,"$28,871,140.00 ",9/30/16
The Accountant,Drama,WB,"$86,260,045.00 ",3402,"$24,710,273.00 ",10/14/16
Teenage Mutant Ninja Turtles: Out of the Shadows,Action / Adventure,Par.,"$82,051,601.00 ",4071,"$35,316,382.00 ",6/3/16
The Purge: Election Year,Thriller,Uni.,"$79,213,375.00 ",2821,"$31,515,110.00 ",7/1/16
Alice Through the Looking Glass,Family Adventure,BV,"$77,041,381.00 ",3763,"$26,858,726.00 ",5/27/16
Pete's Dragon (2016),Family,BV,"$76,233,151.00 ",3702,"$21,514,095.00 ",8/12/16
The Girl on the Train (2016),Thriller,Uni.,"$75,395,035.00 ",3241,"$24,536,265.00 ",10/7/16
Boo! A Madea Halloween,Horror Comedy,LGF,"$73,206,343.00 ",2299,"$28,501,448.00 ",10/21/16
Storks,Animation,WB,"$72,679,278.00 ",3922,"$21,311,407.00 ",9/23/16
10 Cloverfield Lane,Thriller,Par.,"$72,082,998.00 ",3427,"$24,727,437.00 ",3/11/16
Lights Out,Horror,WB (NL),"$67,268,835.00 ",2835,"$21,688,103.00 ",7/22/16
Hacksaw Ridge,Action Drama,LGF,"$67,209,615.00 ",2971,"$15,190,758.00 ",11/4/16
The Divergent Series: Allegiant,Action / Adventure,LG/S,"$66,184,051.00 ",3740,"$29,027,348.00 ",3/18/16
Now You See Me 2,Thriller,LG/S,"$65,075,540.00 ",3232,"$22,383,146.00 ",6/10/16
Ice Age: Collision Course,Animation,Fox,"$64,063,008.00 ",3997,"$21,373,064.00 ",7/22/16
The Boss,Comedy,Uni.,"$63,285,885.00 ",3495,"$23,586,645.00 ",4/8/16
London Has Fallen,Action,Focus,"$62,524,260.00 ",3492,"$21,635,601.00 ",3/4/16
Miracles from Heaven,Drama,TriS,"$61,705,123.00 ",3155,"$14,812,393.00 ",3/16/16
Deepwater Horizon,Action Drama,LG/S,"$61,433,527.00 ",3403,"$20,223,544.00 ",9/30/16
Why Him?,Comedy,Fox,"$60,323,786.00 ",3008,"$11,002,986.00 ",12/23/16
My Big Fat Greek Wedding 2,Comedy,Uni.,"$59,689,605.00 ",3179,"$17,861,950.00 ",3/25/16
